Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
West,Sandy,Wheat,800,25,True,True,Sunny,120,3.2
East,Loam,Rice,1200,28,True,False,Cloudy,140,4.1
North,Clay,Soybean,600,22,False,True,Rainy,110,2.8
South,Silt,Barley,900,26,True,True,Sunny,130,3.6
